fromAccountNumber,toAccountNumber,transferAmount
1000238,2000439,7082
1000187,1000158,8877
1000044,1000144,3765
1000022,1000239,7357
1000095,2000443,7054
1000214,2000444,6829
1000174,1000115,7786
1000226,1000156,8281
1000127,1000177,8014
1000139,2000448,3857
1000065,2000449,3416
1000008,2000450,3502
1000042,1000122,9705
1000165,2000452,8516
1000070,1000128,357
1000038,2000454,4895
1000175,1000190,3515
1000124,2000456,3681
1000192,2000457,6836
1000072,1000067,9360
1000125,2000459,453
1000091,2000460,8252
1000042,2000461,9943
1000002,2000462,2280
1000154,1000041,6474
1000026,2000464,5884
1000070,1000181,6541
1000202,2000466,778
1000176,1000018,923
1000121,2000468,8940
1000236,2000469,3316
1000145,1000062,8619
1000059,1000072,5844
1000024,1000228,9322
1000139,1000179,3788
1000063,2000474,7235
1000248,1000188,517
1000102,1000026,9465
1000139,1000156,730
1000095,1000224,3982
1000125,1000037,9465
1000074,2000480,8373
1000001,2000481,1128
1000219,2000482,6103
1000037,1000216,781
1000217,1000004,4872
1000187,2000485,2687
1000242,2000486,3764
1000094,2000487,6362
1000054,2000488,6140
1000231,2000489,2939
1000236,1000180,1077
1000215,2000491,6394
1000218,2000492,1219
1000046,2000493,485
1000026,2000494,6308
1000197,2000495,544
1000004,1000202,532
1000213,1000029,2829
1000090,2000498,7528
1000129,2000499,664
1000069,2000500,9865
1000114,2000501,9318
1000195,2000502,9572
1000069,2000503,5851
1000042,1000004,5680
1000027,2000505,4971
1000118,1000104,277
1000147,1000068,5630
1000068,1000030,3558
1000221,1000230,476
1000035,2000510,159
1000070,1000213,6584
1000244,2000512,2946
1000144,1000185,5954
1000037,1000205,7554
1000150,2000515,3964
1000235,1000182,4764
1000179,2000517,8486
1000103,2000518,2710
1000118,2000519,4409
1000094,1000138,308
1000191,2000521,495
1000226,2000522,9490
1000023,1000183,2618
1000119,2000524,5519
1000139,2000525,1644
1000078,2000526,5796
1000184,1000160,2102
1000124,1000129,971
1000107,2000529,9720
1000246,2000530,5106
1000025,2000531,9008
1000125,2000532,3294
1000122,1000058,8817
1000156,2000534,9701
1000045,2000535,1469
1000208,2000536,3256
1000211,1000008,2048
1000116,2000538,938
1000143,1000224,5011
1000180,2000540,1387
1000247,2000541,9492
1000027,1000145,1816
1000205,2000543,8862
1000031,1000047,1709
1000147,2000545,3686
1000128,1000217,7473
1000147,1000096,6526
1000226,1000059,9329
1000058,2000549,2285
1000016,2000550,5494
1000131,2000551,811
1000153,1000091,4711
1000184,1000179,870
1000022,2000554,8400
1000055,1000126,3948
1000008,1000038,3300
1000149,1000028,5420
1000018,1000104,5845
1000201,2000559,917
1000138,1000233,6390
1000136,2000561,1008
1000063,2000562,978
1000213,1000018,8133
1000076,2000564,8678
1000153,2000565,2346
1000131,2000566,5570
1000007,1000204,7550
1000129,2000568,2147
1000188,2000569,9850
1000155,2000570,7031
1000066,2000571,3707
1000024,1000057,6525
1000164,1000005,312
1000173,1000238,7441
1000239,1000083,7736
1000199,1000164,284
1000112,2000577,8187
1000168,1000202,1970
1000042,1000063,5903
1000182,2000580,8638
1000205,2000581,6708
1000075,2000582,234
1000157,1000117,7540
1000019,1000023,2481
1000028,1000065,6904
1000152,1000109,5778
1000194,2000587,4668
1000180,1000065,6966
1000054,2000589,2025
1000171,2000590,6136
1000024,1000050,1354
1000171,2000592,7039
1000025,2000593,6098
1000075,2000594,8476
1000084,2000595,8341
1000196,2000596,9647
1000073,1000059,8018
1000145,2000598,7153
1000145,1000236,8385
1000249,2000600,3830
1000059,1000088,1595
1000103,2000602,8614
1000183,2000603,5476
1000086,2000604,1179
1000140,2000605,4711
1000124,1000048,5474
1000196,1000127,9130
1000237,1000010,5300
1000057,2000609,3537
1000134,2000610,1508
1000037,1000142,9370
1000157,1000195,5675
1000111,2000613,2061
1000001,1000156,2176
1000074,2000615,7149
1000011,2000616,6372
1000091,1000017,9468
1000042,2000618,6030
1000083,1000020,9353
1000031,2000620,2175
1000160,2000621,6527
1000077,2000622,4388
1000081,1000163,8167
1000081,1000102,5318
1000043,1000118,1845
1000016,2000626,5772
1000226,1000171,2907
1000060,1000023,2874
1000082,2000629,2112
1000242,2000630,9097
1000020,2000631,2102
1000089,1000008,4155
1000195,2000633,6403
1000143,1000172,6400
1000137,1000140,1714
1000228,1000181,9386
1000036,1000074,2233
1000001,2000638,7919
1000190,2000639,924
1000127,1000223,1277
1000070,2000641,5396
1000099,2000642,5353
1000180,1000037,7765
1000239,1000113,6078
1000092,2000645,5297
1000216,1000138,2984
1000038,1000044,7694
1000019,1000059,1094
1000154,2000649,8672
1000062,2000650,4344
1000209,2000651,4649
1000181,2000652,1568
1000234,2000653,2057
1000250,2000654,4539
1000093,2000655,5889
1000147,1000013,552
1000221,2000657,1552
1000136,1000027,4364
1000127,2000659,6112
1000019,1000020,3621
1000224,2000661,3189
1000013,2000662,8271
1000083,2000663,8594
1000063,1000127,2929
1000243,1000147,2526
1000216,1000054,6118
1000155,1000045,8963
1000064,1000119,5274
1000094,2000669,6126
1000071,1000244,2402
1000095,2000671,6308
1000232,2000672,5616
1000195,1000045,2450
1000064,1000240,9521
1000070,1000055,2935
1000167,2000676,4750
1000184,1000028,3380
1000060,1000158,6114
1000227,1000038,1944
1000067,1000103,2476
1000109,2000681,3072
1000165,1000220,2884
1000140,2000683,105
1000220,1000248,2844
1000158,1000220,5634
1000163,2000686,6425
1000122,2000687,7137
1000082,1000043,7987
1000139,1000120,8280
1000181,1000078,3847
1000246,2000691,1529
1000089,1000170,5066
1000079,1000239,6580
1000164,1000035,4795
1000241,2000695,3042
1000038,1000241,3373
1000214,1000024,3015
1000199,2000698,8230
1000065,2000699,1336
1000093,2000700,5133
1000025,1000031,1858
1000040,2000702,1008
1000014,2000703,4687
1000068,2000704,4302
1000095,1000002,8002
1000175,1000166,5512
1000010,1000004,7264
1000177,1000098,8234
1000087,2000709,7006
1000012,2000710,1738
1000086,2000711,5421
1000057,1000126,3003
1000047,1000239,1843
1000033,2000714,6496
1000038,1000052,8699
1000099,2000716,4024
1000052,2000717,8784
1000205,2000718,6187
1000002,1000159,3380
1000156,1000035,4378
1000212,2000721,5052
1000222,1000158,414
1000003,2000723,3899
1000207,2000724,9027
1000046,1000016,4178
1000053,1000216,6626
1000031,2000727,2769
1000015,1000110,6123
1000070,2000729,8589
1000220,1000118,6772
1000187,2000731,6122
1000035,1000097,3758
1000100,1000091,9966
1000239,1000127,8850
1000211,2000735,7189
1000052,1000120,7778
1000172,1000019,3641
1000096,1000044,6941
1000174,2000739,7674
1000231,1000121,8897
1000127,1000242,7528
1000232,2000742,3404
1000118,1000082,6785
1000216,1000165,9134
1000116,2000745,8334
1000228,2000746,9575
1000005,2000747,3532
1000092,2000748,5916
1000064,1000037,8822
1000186,1000241,578
1000243,2000751,7367
1000144,2000752,1055
1000132,1000104,4926
1000122,2000754,9368
1000025,1000036,2222
1000092,1000115,2120
1000108,2000757,9552
1000218,2000758,9420
1000212,1000127,4946
1000185,2000760,532
1000230,2000761,1895
1000053,1000082,2970
1000219,1000237,8295
1000124,2000764,2753
1000023,2000765,6486
1000004,1000232,6093
1000162,1000112,5407
1000243,2000768,7275
1000203,2000769,3545
1000111,2000770,4940
1000019,2000771,6099
1000217,2000772,1300
1000134,2000773,6582
1000037,2000774,8411
1000230,2000775,7491
1000195,2000776,8702
1000146,2000777,6508
1000212,2000778,6831
1000224,2000779,8617
1000077,2000780,8249
1000236,2000781,5829
1000042,1000205,993
1000136,2000783,5279
1000089,2000784,747
1000182,1000078,897
1000124,1000084,563
1000188,1000044,8611
1000178,2000788,569
1000214,1000235,9605
1000236,1000062,4991
1000082,1000031,3097
1000125,2000792,9457
1000187,2000793,2946
1000131,2000794,9378
1000155,2000795,3084
1000174,1000065,2021
1000049,2000797,5371
1000222,1000041,5371
1000160,2000799,5794
1000216,2000800,978
1000129,1000030,7530
1000209,1000188,9834
1000198,2000803,9447
1000034,1000107,121
1000182,2000805,2569
1000105,2000806,974
1000248,1000062,5614
1000053,1000015,6903
1000027,2000809,2707
1000229,1000157,6087
1000231,2000811,7966
1000147,1000235,9099
1000056,2000813,100
1000155,1000053,7437
1000142,2000815,6060
1000196,1000109,7165
1000237,2000817,9630
1000191,1000210,3775
1000065,1000117,4870
1000026,2000820,7349
1000162,2000821,6185
1000225,1000205,5212
1000241,2000823,5143
1000217,1000070,8195
1000242,1000219,1541
1000141,1000081,4860
1000024,2000827,9280
1000148,1000169,7138
1000182,2000829,3223
1000085,2000830,3886
1000125,1000116,4306
1000197,1000096,5521
1000140,2000833,4145
1000064,2000834,8103
1000083,1000188,3985
1000236,1000002,4729
1000203,2000837,6936
1000100,1000141,3381
1000179,1000034,2760
1000129,1000097,8817
1000056,2000841,426
1000004,2000842,9304
1000126,2000843,4598
1000211,1000180,7082
1000168,2000845,7312
1000173,1000214,2870
1000155,2000847,2542
1000103,2000848,6040
1000166,2000849,4193
1000129,1000171,476
1000237,1000090,1043
1000129,1000186,6410
1000016,1000155,4088
1000064,1000152,6516
1000070,1000130,5433
1000020,2000856,4097
1000002,1000109,4247
1000130,2000858,7042
1000040,1000154,6195
1000049,2000860,6863
1000250,2000861,1496
1000078,2000862,8207
1000032,1000078,6172
1000247,1000101,6381
1000211,1000089,4119
1000138,1000230,3104
1000103,2000867,3635
1000131,1000026,9696
1000014,1000090,4798
1000092,1000095,6626
1000033,2000871,9685
1000150,2000872,9904
1000099,2000873,1347
1000195,2000874,3879
1000132,2000875,7977
1000086,2000876,9802
1000106,1000212,2235
1000204,1000163,9112
1000140,2000879,1594
1000113,1000041,3292
1000042,1000034,7730
1000083,1000131,7411
1000227,2000883,3360
1000142,1000173,8520
1000074,1000133,5762
1000043,1000044,898
1000198,1000069,8587
1000029,1000068,6565
1000184,1000110,5642
1000036,1000079,8465
1000103,1000223,3351
1000072,1000136,2737
1000225,2000893,7491
1000234,1000104,6031
1000070,2000895,1317
1000102,1000180,6421
1000168,1000236,7380
1000123,1000093,7774
1000092,2000899,4927
1000014,2000900,4080
1000044,2000901,6791
1000027,2000902,6113
1000010,2000903,4166
1000227,2000904,8743
1000058,2000905,3172
1000122,1000048,9807
1000204,1000087,8847
1000112,1000054,4509
1000069,1000009,767
1000036,2000910,601
1000133,2000911,408
1000220,2000912,5514
1000112,1000051,5597
1000208,2000914,2628
1000056,1000015,8605
1000088,1000218,7298
1000177,1000069,4578
1000198,2000918,4209
1000207,1000244,6028
1000017,2000920,3628
1000048,1000244,8683
1000213,2000922,7893
1000242,1000007,5836
1000106,1000055,6357
1000193,1000088,1283
1000063,2000926,6066
1000107,2000927,1905
1000200,1000203,382
1000110,2000929,2113
1000087,1000239,2527
1000069,1000091,6087
1000150,1000239,5094
1000145,1000049,1436
1000051,2000934,5203
1000199,2000935,8834
1000038,1000074,2283
1000146,2000937,6651
1000147,1000132,1752
1000123,2000939,4558
1000181,2000940,3505
1000203,1000044,7919
1000016,2000942,8670
1000150,2000943,166
1000217,2000944,5268
1000153,1000209,2936
1000143,2000946,2558
1000198,1000021,759
1000053,1000007,1009
1000120,2000949,8337
1000092,2000950,9730
1000059,1000120,7084
1000238,1000212,6760
1000096,2000953,7993
1000149,2000954,3119
1000073,2000955,4250
1000229,1000016,5576
1000190,2000957,737
1000200,2000958,8950
1000006,2000959,9650
1000010,1000016,4541
1000077,1000081,3344
1000203,2000962,8359
1000192,2000963,8653
1000192,1000184,2097
1000245,2000965,9034
1000055,2000966,3942
1000087,1000026,2841
1000097,1000178,4096
1000040,1000184,1403
1000198,1000020,129
1000150,1000250,6300
1000107,1000247,1138
1000181,1000180,6601
1000060,1000018,4630
1000064,2000975,5557
1000188,1000161,3608
1000144,1000065,8230
1000054,1000205,278
1000197,2000979,2025
1000119,1000060,8836
1000104,2000981,8423
1000201,1000150,3839
1000167,1000094,2130
1000185,1000138,3048
1000025,1000210,3217
1000049,1000134,8923
1000152,2000987,8016
1000112,1000140,253
1000217,2000989,8555
1000224,2000990,5270
1000215,2000991,9820
1000239,1000101,6284
1000041,2000993,3883
1000157,2000994,2431
1000086,1000054,583
1000002,2000996,2683
1000061,1000221,7134
1000080,1000040,4937
1000179,2000999,4799
1000163,2001000,8059
1000117,1000068,1220
1000065,2001002,1954
1000147,2001003,8096
1000165,1000011,7356
1000058,2001005,2041
1000091,2001006,2382
1000099,1000039,7772
1000189,1000171,6931
1000023,2001009,610
1000006,2001010,8989
1000071,1000011,1519
1000004,1000206,5585
1000136,2001013,5291
1000073,2001014,7886
1000088,2001015,6100
1000113,1000184,3836
1000039,2001017,991
1000071,1000151,9660
1000190,1000097,6701
1000003,1000001,6416
1000022,2001021,9422
1000107,2001022,5466
1000089,1000025,6267
1000202,1000028,5222
1000172,1000069,8260
1000183,2001026,5571
1000232,2001027,5211
1000217,2001028,3451
1000049,1000207,5245
1000246,1000231,1026
1000158,1000034,9156
1000017,2001032,9576
1000195,1000205,6624
1000032,2001034,9772
1000097,1000074,4350
1000240,1000212,2647
1000240,1000187,8627
1000113,2001038,6408
1000159,1000233,9021
1000064,1000155,7022
1000007,1000029,3872
1000161,2001042,5718
1000054,1000120,7117
1000130,1000010,256
1000009,2001045,5987
1000083,1000197,693
1000098,1000194,5038
1000203,2001048,9531
1000183,1000229,4711
1000243,1000175,718
1000122,2001051,6983
1000104,1000167,4101
1000029,1000023,1762
1000096,2001054,9969
1000147,2001055,4530
1000137,1000205,5473
1000169,2001057,8941
1000149,2001058,4650
1000016,2001059,1235
1000107,2001060,7651
1000221,2001061,4103
1000106,2001062,2792
1000055,2001063,4498
1000091,2001064,6356
1000216,2001065,5669
1000061,1000209,5914
1000069,2001067,5228
1000122,1000053,5661
1000172,1000033,3056
1000196,2001070,5782
1000201,2001071,1374
1000110,1000080,7346
1000200,1000174,8077
1000062,1000056,247
1000029,1000216,5429
1000168,1000133,2990
1000220,2001077,4991
1000213,2001078,9055
1000042,2001079,7226
1000149,1000231,3736
1000128,2001081,1545
1000193,2001082,8696
1000072,2001083,7457
1000072,1000061,2300
1000125,2001085,4661
1000136,2001086,4037
1000036,1000030,6532
1000217,2001088,7466
1000105,1000032,9062
1000218,2001090,8807
1000008,2001091,4471
1000139,2001092,6047
1000227,1000189,960
1000224,1000218,1796
1000088,1000026,7788
1000143,1000079,1655
1000232,1000162,6092
1000156,2001098,9596
1000161,1000190,435
1000141,2001100,2762
1000236,2001101,3299
1000042,2001102,6839
1000063,2001103,9747
1000070,2001104,9337
1000079,2001105,6146
1000174,1000222,5243
1000012,2001107,9023
1000114,1000141,140
1000108,2001109,7962
1000066,1000248,2697
1000035,2001111,9649
1000089,2001112,5797
1000095,1000213,7276
1000031,1000089,2877
1000176,2001115,409
1000135,1000099,4394
1000100,1000161,2719
1000236,1000131,1542
1000114,1000026,3127
1000105,1000039,7048
1000127,1000078,2625
1000162,2001122,8688
1000080,2001123,6412
1000145,1000100,1029
1000201,2001125,7431
1000018,1000043,7459
1000211,2001127,2057
1000061,2001128,3897
1000083,1000227,699
1000071,1000009,6922
1000180,1000193,5961
1000141,2001132,763
1000171,2001133,854
1000151,1000165,2307
1000233,2001135,6567
1000239,1000238,5607
1000023,2001137,1749
1000072,2001138,8644
1000050,2001139,887
1000246,1000049,2080
1000052,2001141,7618
1000150,1000065,3119
1000136,1000078,2664
1000187,2001144,7492
1000032,1000014,8338
1000019,1000154,7819
1000152,2001147,1279
1000187,1000209,2298
1000028,2001149,6020
1000089,2001150,9571
1000220,1000187,9069
1000035,2001152,2252
1000018,1000038,8407
1000226,2001154,9384
1000143,1000103,9695
1000108,2001156,1733
1000228,1000196,1316
1000166,1000124,4509
1000096,2001159,1485
1000122,1000021,4940
1000022,1000006,6348
1000155,1000231,2911
1000112,1000080,7216
1000166,1000044,5634
1000027,2001165,7420
1000174,1000151,9040
1000015,1000001,6140
1000199,1000202,5259
1000175,2001169,6479
1000079,1000135,4364
1000027,1000047,1497
1000141,1000125,273
1000115,2001173,7931
1000110,1000090,224
1000137,2001175,9306
1000030,1000072,1411
1000186,1000084,2534
1000051,2001178,4669
1000192,2001179,1128
1000067,1000121,4971
1000087,2001181,3804
1000104,2001182,9625
1000084,2001183,1718
1000014,1000250,2714
1000189,1000128,5609
1000110,2001186,8956
1000187,1000102,3190
1000046,2001188,1924
1000073,1000122,6308
1000089,1000121,8905
1000007,2001191,2325
1000246,2001192,755
1000230,2001193,5891
1000133,2001194,4287
1000153,1000158,3312
1000220,2001196,8279
1000149,1000080,3024
1000076,2001198,4318
1000163,2001199,8233
1000160,1000105,567
1000052,2001201,1869
1000117,2001202,4716
1000177,2001203,2923
1000039,2001204,7466
1000105,1000103,1687
1000230,1000008,6809
1000082,2001207,7347
1000071,2001208,6663
1000239,2001209,7575
1000190,2001210,4420
1000062,1000099,1518
1000231,1000105,5267
1000215,1000218,938
1000158,1000023,2125
1000212,2001215,871
1000218,2001216,3563
1000031,2001217,1558
1000053,2001218,852
1000013,1000073,771
1000134,2001220,5873
1000216,2001221,9954
1000078,2001222,8387
1000094,1000115,7377
1000158,2001224,4093
1000228,2001225,2370
1000216,1000107,3191
1000205,1000163,4807
1000079,2001228,772
1000129,1000131,1317
1000142,2001230,8361
1000036,2001231,8737
1000106,2001232,129
1000056,1000132,402
1000233,2001234,1169
1000036,1000096,3075
1000209,2001236,6573
1000193,2001237,6765
1000071,1000228,774
1000171,1000041,1403
1000243,2001240,3280
1000134,2001241,7758
1000204,1000114,2702
1000054,2001243,5102
1000099,2001244,8106
1000004,1000084,4432
1000025,1000242,4636
1000185,2001247,9839
1000090,1000040,8024
1000246,1000212,1943
1000244,1000086,4101
1000207,1000083,1161
1000057,2001252,3566
1000152,1000192,1154
1000167,2001254,1074
1000140,1000006,6682
1000239,1000015,240
1000098,1000002,8856
1000228,1000081,5897
1000236,2001259,6115
1000061,1000114,260
1000049,2001261,7302
1000111,1000245,9726
1000165,1000215,3079
1000126,1000192,9288
1000086,1000138,2886
1000099,2001266,6338
1000235,2001267,8264
1000210,1000225,7167
1000078,2001269,7458
1000101,1000243,8166
1000130,2001271,8947
1000036,1000059,9122
1000065,1000089,9007
1000104,2001274,8000
1000025,2001275,4098
1000219,2001276,5097
1000010,2001277,3357
1000174,1000149,3984
1000182,2001279,2467
